DATE,MODAL
2010-01-01,1000.0
2010-01-02,1125.0
2010-01-03,987.5
2010-01-04,850.0
2010-01-05,1025.0
2010-01-06,962.5
2010-01-07,900.0
2010-01-08,600.0
2010-01-09,683.3333333333334
2010-01-10,766.6666666666666
2010-01-11,850.0
2010-01-12,875.0
2010-01-13,975.0
2010-01-14,912.5
2010-01-15,850.0
2010-01-16,875.0
2010-01-17,862.5
2010-01-18,850.0
2010-01-19,700.0
2010-01-20,750.0
2010-01-21,800.0
2010-01-22,850.0
2010-01-23,833.3333333333334
2010-01-24,816.6666666666666
2010-01-25,800.0
2010-01-26,800.0
2010-01-27,800.0
2010-01-28,750.0
2010-01-29,750.0
2010-01-30,700.0
2010-01-31,775.0
2010-02-01,850.0
2010-02-02,800.0
2010-02-03,750.0
2010-02-04,750.0
2010-02-05,700.0
2010-02-06,750.0
2010-02-07,750.0
2010-02-08,750.0
2010-02-09,650.0
2010-02-10,700.0
2010-02-11,675.0
2010-02-12,754.1666666666666
2010-02-13,833.3333333333334
2010-02-14,912.5
2010-02-15,991.6666666666667
2010-02-16,1070.8333333333335
2010-02-17,1150.0
2010-02-18,1200.0
2010-02-19,1125.0
2010-02-20,1300.0
2010-02-21,1300.0
2010-02-22,1300.0
2010-02-23,850.0
2010-02-24,975.0
2010-02-25,875.0
2010-02-26,1100.0
2010-02-27,1087.5
2010-02-28,1075.0
2010-03-01,1062.5
2010-03-02,1050.0
2010-03-03,825.0
2010-03-04,825.0
2010-03-05,900.0
2010-03-06,825.0
2010-03-07,900.0
2010-03-08,975.0
2010-03-09,950.0
2010-03-10,900.0
2010-03-11,875.0
2010-03-12,1000.0
2010-03-13,916.6666666666666
2010-03-14,833.3333333333334
2010-03-15,750.0
2010-03-16,1200.0
2010-03-17,1225.0
2010-03-18,1250.0
2010-03-19,1250.0
2010-03-20,1275.0
2010-03-21,1300.0
2010-03-22,1325.0
2010-03-23,1250.0
2010-03-24,1250.0
2010-03-25,1250.0
2010-03-26,1150.0
2010-03-27,1250.0
2010-03-28,1150.0
2010-03-29,1050.0
2010-03-30,1050.0
2010-03-31,1100.0
2010-04-01,1150.0
2010-04-02,1000.0
2010-04-03,1125.0
2010-04-04,975.0
2010-04-05,825.0
2010-04-06,850.0
2010-04-07,925.0
2010-04-08,650.0
2010-04-09,950.0
2010-04-10,1900.0
2010-04-11,1558.3333333333333
2010-04-12,1216.6666666666665
2010-04-13,875.0
2010-04-14,975.0
2010-04-15,800.0
2010-04-16,825.0
2010-04-17,775.0
2010-04-18,800.0
2010-04-19,825.0
2010-04-20,775.0
2010-04-21,775.0
2010-04-22,750.0
2010-04-23,775.0
2010-04-24,850.0
2010-04-25,925.0
2010-04-26,1000.0
2010-04-27,825.0
2010-04-28,825.0
2010-04-29,825.0
2010-04-30,1100.0
2010-05-01,983.3333333333334
2010-05-02,866.6666666666666
2010-05-03,750.0
2010-05-04,800.0
2010-05-05,775.0
2010-05-06,725.0
2010-05-07,775.0
2010-05-08,666.6666666666666
2010-05-09,558.3333333333334
2010-05-10,450.0
2010-05-11,675.0
2010-05-12,650.0
2010-05-13,650.0
2010-05-14,750.0
2010-05-15,625.0
2010-05-16,725.0
2010-05-17,825.0
2010-05-18,650.0
2010-05-19,475.0
2010-05-20,475.0
2010-05-21,650.0
2010-05-22,633.3333333333334
2010-05-23,616.6666666666666
2010-05-24,600.0
2010-05-25,650.0
2010-05-26,637.5
2010-05-27,625.0
2010-05-28,650.0
2010-05-29,650.0
2010-05-30,700.0
2010-05-31,750.0
2010-06-01,825.0
2010-06-02,1000.0
2010-06-03,1100.0
2010-06-04,800.0
2010-06-05,1250.0
2010-06-06,1350.0
2010-06-07,1450.0
2010-06-08,1375.0
2010-06-09,1100.0
2010-06-10,825.0
2010-06-11,825.0
2010-06-12,950.0
2010-06-13,1075.0
2010-06-14,1200.0
2010-06-15,900.0
2010-06-16,1250.0
2010-06-17,1125.0
2010-06-18,1000.0
2010-06-19,700.0
2010-06-20,762.5
2010-06-21,825.0
2010-06-22,825.0
2010-06-23,950.0
2010-06-24,600.0
2010-06-25,600.0
2010-06-26,683.3333333333334
2010-06-27,766.6666666666666
2010-06-28,850.0
2010-06-29,750.0
2010-06-30,700.0
2010-07-01,550.0
2010-07-02,475.0
2010-07-03,350.0
2010-07-04,325.0
2010-07-05,300.0
2010-07-06,425.0
2010-07-07,550.0
2010-07-08,350.0
2010-07-09,625.0
2010-07-10,691.6666666666666
2010-07-11,758.3333333333334
2010-07-12,825.0
2010-07-13,825.0
2010-07-14,900.0
2010-07-15,825.0
2010-07-16,900.0
2010-07-17,750.0
2010-07-18,712.5
2010-07-19,675.0
2010-07-20,675.0
2010-07-21,425.0
2010-07-22,650.0
2010-07-23,325.0
2010-07-24,325.0
2010-07-25,325.0
2010-07-26,325.0
2010-07-27,382.14285714285717
2010-07-28,439.2857142857143
2010-07-29,496.42857142857144
2010-07-30,553.5714285714286
2010-07-31,610.7142857142858
2010-08-01,667.8571428571429
2010-08-02,725.0
2010-08-03,625.0
2010-08-04,950.0
2010-08-05,875.0
2010-08-06,1050.0
2010-08-07,1375.0
2010-08-08,1187.5
2010-08-09,1000.0
2010-08-10,1200.0
2010-08-11,1400.0
2010-08-12,1025.0
2010-08-13,1625.0
2010-08-14,1558.3333333333333
2010-08-15,1491.6666666666667
2010-08-16,1425.0
2010-08-17,825.0
2010-08-18,1125.0
2010-08-19,1075.0
2010-08-20,1106.25
2010-08-21,1137.5
2010-08-22,1168.75
2010-08-23,1200.0
2010-08-24,1162.5
2010-08-25,1125.0
2010-08-26,1025.0
2010-08-27,650.0
2010-08-28,708.3333333333334
2010-08-29,766.6666666666666
2010-08-30,825.0
2010-08-31,825.0
2010-09-01,825.0
2010-09-02,825.0
2010-09-03,825.0
2010-09-04,1200.0
2010-09-05,1050.0
2010-09-06,900.0
2010-09-07,900.0
2010-09-08,900.0
2010-09-09,1875.0
2010-09-10,2000.0
2010-09-11,1825.0
2010-09-12,1650.0
2010-09-13,1475.0
2010-09-14,1375.0
2010-09-15,2000.0
2010-09-16,2375.0
2010-09-17,1875.0
2010-09-18,2700.0
2010-09-19,2433.3333333333335
2010-09-20,2166.6666666666665
2010-09-21,1900.0
2010-09-22,1633.3333333333333
2010-09-23,1366.6666666666665
2010-09-24,1100.0
2010-09-25,1166.6666666666667
2010-09-26,1233.3333333333333
2010-09-27,1300.0
2010-09-28,1300.0
2010-09-29,1175.0
2010-09-30,1250.0
2010-10-01,1125.0
2010-10-02,1208.3333333333333
2010-10-03,1291.6666666666667
2010-10-04,1375.0
2010-10-05,1050.0
2010-10-06,1250.0
2010-10-07,1000.0
2010-10-08,1005.0
2010-10-09,1010.0
2010-10-10,1015.0
2010-10-11,1020.0
2010-10-12,1025.0
2010-10-13,1030.0
2010-10-14,1035.0
2010-10-15,1040.0
2010-10-16,1045.0
2010-10-17,1050.0
2010-10-18,1055.0
2010-10-19,1060.0
2010-10-20,1065.0
2010-10-21,1070.0
2010-10-22,1075.0
2010-10-23,1080.0
2010-10-24,1085.0
2010-10-25,1090.0
2010-10-26,1095.0
2010-10-27,1100.0
2010-10-28,1025.0
2010-10-29,1425.0
2010-10-30,1300.0
2010-10-31,1287.5
2010-11-01,1275.0
2010-11-02,1325.0
2010-11-03,2025.0
2010-11-04,1650.0
2010-11-05,1625.0
2010-11-06,1600.0
2010-11-07,1575.0
2010-11-08,1550.0
2010-11-09,1250.0
2010-11-10,1450.0
2010-11-11,2500.0
2010-11-12,900.0
2010-11-13,1058.3333333333333
2010-11-14,1216.6666666666667
2010-11-15,1375.0
2010-11-16,1200.0
2010-11-17,1325.0
2010-11-18,1175.0
2010-11-19,1325.0
2010-11-20,1425.0
2010-11-21,1525.0
2010-11-22,1625.0
2010-11-23,1750.0
2010-11-24,1775.0
2010-11-25,1700.0
2010-11-26,1850.0
2010-11-27,2250.0
2010-11-28,2125.0
2010-11-29,2000.0
2010-11-30,1850.0
2010-12-01,1700.0
2010-12-02,1800.0
2010-12-03,1750.0
2010-12-04,1750.0
2010-12-05,1830.0
2010-12-06,1910.0
2010-12-07,1990.0
2010-12-08,2070.0
2010-12-09,2150.0
2010-12-10,2425.0
2010-12-11,2325.0
2010-12-12,2225.0
2010-12-13,2125.0
2010-12-14,2375.0
2010-12-15,2375.0
2010-12-16,2000.0
2010-12-17,1875.0
2010-12-18,1500.0
2010-12-19,1437.5
2010-12-20,1375.0
2010-12-21,1200.0
2010-12-22,1075.0
2010-12-23,1125.0
2010-12-24,1050.0
2010-12-25,1083.3333333333333
2010-12-26,1116.6666666666667
2010-12-27,1150.0
2010-12-28,875.0
2010-12-29,900.0
2010-12-30,750.0
2010-12-31,600.0
2011-01-01,450.0
2011-01-02,575.0
2011-01-03,700.0
2011-01-04,675.0
2011-01-05,700.0
2011-01-06,575.0
2011-01-07,700.0
2011-01-08,741.6666666666666
2011-01-09,783.3333333333334
2011-01-10,825.0
2011-01-11,750.0
2011-01-12,800.0
2011-01-13,700.0
2011-01-14,675.0
2011-01-15,650.0
2011-01-16,675.0
2011-01-17,700.0
2011-01-18,650.0
2011-01-19,650.0
2011-01-20,400.0
2011-01-21,350.0
2011-01-22,400.0
2011-01-23,425.0
2011-01-24,450.0
2011-01-25,725.0
2011-01-26,612.5
2011-01-27,500.0
2011-01-28,375.0
2011-01-29,400.0
2011-01-30,350.0
2011-01-31,300.0
2011-02-01,450.0
2011-02-02,525.0
2011-02-03,437.5
2011-02-04,350.0
2011-02-05,400.0
2011-02-06,450.0
2011-02-07,500.0
2011-02-08,550.0
2011-02-09,750.0
2011-02-10,425.0
2011-02-11,662.5
2011-02-12,900.0
2011-02-13,1137.5
2011-02-14,1375.0
2011-02-15,625.0
2011-02-16,600.0
2011-02-17,750.0
2011-02-18,700.0
